epoch,loss,aux_loss,colonization_loss,jump_loss,decline_loss,pde_loss,regular_loss,China_loss,India_loss,Philippines_loss,Portugal_loss,Sri Lanka_loss
1,2217.6679983956474,0.731306048801967,2369.2636143275668,656.0280234596946,210.79669189453125,4394.330866350447,10144.029300265842,4322.799068777902,2658.2391130719866,1543.7098127092634,910.9289132254464,1652.6629499162946
2,1734.5939601353236,0.7202342935970851,1744.1945883614676,549.8366005637429,166.6963631766183,4085.3347726004463,10423.592510223389,3335.038330078125,2478.448486328125,1596.7080078125,575.7579956054688,832.3479614257812
3,1429.2065351213728,0.7078090701784406,1426.828227015904,541.2171179453532,152.3548564365932,3645.2861258370535,11214.986402511597,3134.139303152902,2346.3769003731863,1316.97158203125,529.4498977661133,1346.0319117954798
4,1260.1422598702568,0.7005238464900425,1238.1043125697545,478.8179639180501,160.84424285888673,3411.1442452566966,14545.314860026041,2166.8076171875,1488.0079345703125,1493.34326171875,409.2425231933594,631.461181640625
5,1111.7001299176898,0.6918642384665353,1034.2900233677456,516.9577158147639,155.12079249790736,3204.581985909598,14387.590227709876,2226.1953683035713,2084.8371398925783,1195.777388218471,453.78833160400393,1185.4342651367188
6,1021.7867117745536,0.6855117508343288,927.3025887625558,432.5522575378418,159.26170545305524,3037.9204171316965,17548.653971354168,1519.59326171875,1109.536865234375,1436.0968017578125,414.459228515625,595.364990234375
7,924.1321550641741,0.6786432232175554,815.8201376778738,326.97707138061526,165.3364759172712,2879.8898158482143,14389.987289428711,1588.8123822893415,1936.866952950614,1154.333229282924,452.50172075544083,1168.196969604492
8,812.901549421038,0.6732882840292794,664.1454153878349,468.29408073425293,169.03812757219586,2846.5328683035714,21054.21692085266,1346.993408203125,991.1310424804688,1347.9947509765625,444.4494934082031,574.8717651367188
9,739.9367684500558,0.6676354442323957,566.3293448311942,355.88199377059937,166.7836704799107,2805.2076729910714,19338.037272135418,1174.5315281459264,1744.9012311662946,1049.5322466169084,445.752808707101,1143.7829813276019
10,752.3582327706473,0.6628649711608887,606.1165472848074,480.59020059758967,171.67723061697825,2702.9660435267856,18668.364298502605,1327.5592041015625,942.0828857421875,1230.432861328125,478.13623046875,563.1913452148438
11,758.7458330426897,0.6575523274285453,607.0219458443778,447.7443736683239,170.85462602887836,2748.795064871652,22984.249969482422,1131.5301060267857,1501.5874267578124,969.3550837925502,424.5713694981166,1081.889519391741
12,647.7456525530134,0.6534663149288722,478.4958066667829,320.590965906779,170.83931841169084,2597.6805594308034,14694.301765441895,1252.104736328125,953.0877685546875,1015.9437866210938,470.65814208984375,554.313720703125
13,611.6140407017299,0.6509771006447929,419.55012882777623,345.8340461037376,169.88687438964843,2607.8929931640623,21633.453582763672,1166.9287963867187,1062.3318237304688,885.9662506103516,411.3721926007952,1094.0616315569196
