epoch,loss,aux_loss,colonization_loss,jump_loss,decline_loss,pde_loss,regular_loss,China_loss,India_loss,Philippines_loss,Portugal_loss,Sri Lanka_loss
1,2161.6279479980467,0.7302786912236895,2262.6323093959263,628.1174659729004,156.51184409005302,4417.594049944197,17885.0380859375,4293.592717633928,2616.7216169084822,1502.8467973981585,830.1644631522042,1564.814073399135
2,1642.9162074497767,0.7139463101114546,1659.13198525565,578.9948599679129,123.43197119576591,3874.9011997767857,16185.602554321289,2921.459716796875,2282.11083984375,1574.4775390625,417.19219970703125,646.5040893554688
3,1289.4859854561942,0.6995061533791679,1206.7869585309709,561.9061336517334,135.6049543108259,3571.973845563616,19062.611849975587,3009.6201293945314,2270.722092982701,1310.7807848249163,466.50667070661274,1156.9509630475725
4,1123.7051295689173,0.6865992205483573,1002.1343161446707,565.6116561889648,129.9400844029018,3301.80362374442,27897.285931396484,1955.3907470703125,1693.3311767578125,1477.7486572265625,416.9479064941406,559.44775390625
5,1010.5275155203683,0.6743410195623125,878.1186482020787,562.961789449056,132.78284105573383,3165.9490129743303,19721.657038116457,1706.280113874163,2050.4972501482284,1246.442347935268,447.3878481183733,996.8222324916295
6,935.82077898298,0.6656671643257142,825.5270865304129,517.3476121690538,131.73958696637834,2957.253501674107,20066.52849121094,1213.741943359375,1368.5098876953125,1433.319091796875,498.8587951660156,502.3126525878906
7,866.077090890067,0.6565170134816851,718.071324811663,433.41681017194475,135.3015361240932,2906.6406040736606,15654.687280273438,1348.4208208356586,1798.7630658830915,1183.3857722691127,433.7962897164481,854.1596139090402
8,790.5738263811384,0.6496073842048645,642.0150065830776,362.6768856048584,129.886474609375,2757.9739501953127,16581.537670898437,1125.3736572265625,1232.62255859375,1359.185791015625,496.8414306640625,497.4661560058594
9,687.3487234933036,0.6447055867740086,528.904423740932,353.95567364162866,127.00106724330357,2612.626318359375,13787.64291381836,1125.0277265276227,1617.9464704241072,1109.3165736607143,420.79042096819194,779.5562216622488
10,689.3000941685268,0.6364863174302238,552.8523515973773,351.8047847747803,125.72251434326172,2463.464613560268,14812.77158203125,1120.0389404296875,1083.2769775390625,1196.239501953125,498.91790771484375,449.35076904296875
11,574.7283473423549,0.6312766960689,412.4316783360073,453.90720070732965,123.89413016183036,2302.5999755859375,13757.208166503906,1162.6253182547432,1418.1180280412946,996.9169695172991,402.71241346086777,698.7312068394252
12,536.5689679827009,0.6247962747301374,367.47151336669924,478.70733547210693,118.64404820033482,2209.8933733258928,18446.7177734375,1135.12255859375,900.003662109375,1050.47119140625,463.4320983886719,385.0007629394531
