epoch,loss,aux_loss,colonization_loss,jump_loss,decline_loss,pde_loss,regular_loss,China_loss,India_loss,Philippines_loss,Portugal_loss,Sri Lanka_loss
1,1928.9325142996652,0.73676894732884,2074.9897443498885,455.7345699734158,135.1110318865095,3362.574215262277,11545.89339036208,4044.67016078404,2340.72259652274,1364.1964111328125,585.9897888183593,1309.0834433419363
2,1430.026456124442,0.7071483373641968,1506.8303292410715,347.42632197078905,136.58504289899554,2599.0904296875,14171.663142903646,2631.50927734375,1714.557861328125,1505.051513671875,391.2186279296875,588.328369140625
3,1000.6551749093192,0.6815868088177273,962.9634307861328,425.34178601370917,139.84669167654855,2350.239861188616,16522.761268028848,2695.2304129464287,1980.8468470982143,1156.808364868164,378.2988752092634,938.9476959228516
4,775.2408717564174,0.6647262181554522,672.0008693150112,319.34694900512693,140.89625680106028,2177.068634905134,14061.262858757605,1256.7794189453125,1142.0015869140625,1413.442138671875,404.8675231933594,520.5358276367188
5,700.5081281389508,0.6494634798594884,589.6016270228795,298.73768894295944,140.2096662248884,2171.2911830357143,10502.951972374549,1405.338241141183,1581.297855922154,1021.5937002999442,392.45199410574776,602.5940928867885
6,619.9307935442243,0.6394304037094116,500.4368748256138,275.234359139204,137.6304933820452,1965.4634870256696,11294.805306067834,1022.3114013671875,993.606201171875,1248.8829345703125,399.12274169921875,429.3980407714844
7,580.0280430385045,0.6299456698553902,466.4056804112026,258.7250066995621,133.59849199567523,1848.4656075613839,9769.149652627799,1086.903764125279,780.5814771379743,878.6991324288505,375.5255632672991,754.4943808419364
8,616.7953648158482,0.6200100387845721,527.6031356811524,240.96270340410146,135.84715423583984,1728.1197980608258,10454.707922128531,1040.9781494140625,1035.5218505859375,1028.4534912109375,413.3179626464844,398.1081237792969
9,556.6599679129464,0.6110142265047346,471.4624232700893,227.295421611179,136.99280700683593,1674.8953683035713,9382.04485648019,958.078373500279,756.6676657540457,804.8739471435547,363.24268210274835,619.6779889787946
10,519.0416447230748,0.6050770725522723,412.25678100585935,238.93196058273315,131.14060581752233,1605.9791050502233,10060.26860002371,1051.8250732421875,1040.204345703125,869.2381591796875,349.9685974121094,406.22601318359375
11,534.4979518345424,0.5989630443709237,457.12547825404573,230.84860451597916,130.10471485682896,1549.9984270368304,8483.747108459473,981.7069283621652,577.7783107212612,714.8991686139788,322.5093296595982,502.76021684919084
12,539.1851340157646,0.5940048626491001,468.1245184762137,200.47551477523078,128.17179325648718,1438.1757690429688,9689.857299804688,961.1426391601562,945.2818603515625,696.4512329101562,319.995361328125,385.91217041015625
13,530.4082977294922,0.5899891887392317,464.9831590924944,199.85960292816162,135.1527566092355,1449.6653686523437,7864.136540339543,864.0541848318917,638.567997959682,636.9459708077567,279.7448460170201,480.82720162527903
14,464.82796696254184,0.5867219567298889,398.0194588797433,230.31140003706278,127.19827771868025,1360.2379551478796,11722.125406455994,1076.8050537109375,877.7496948242188,802.197998046875,292.5251159667969,351.4350280761719
15,455.3362592424665,0.5825312273842947,390.58634992327006,176.1189048051834,125.90912835257394,1266.6673985072546,8291.177779134114,1025.091565813337,686.4060954502651,642.2918522426061,263.2091343470982,466.9781254359654
16,458.2791329520089,0.5783673065049307,383.40579539707727,191.46125495717638,131.1572697230748,1239.3505894252232,7429.155934651692,1052.8843994140625,864.0535278320312,595.0624389648438,287.5237731933594,367.9031982421875
17,441.2015995570591,0.5748047232627869,382.95678362165177,198.878308577971,125.60956933157784,1215.5735682896204,8015.5258900035515,885.2594691685268,611.0758200509208,623.834954398019,240.0000749860491,423.12947453090123
18,445.4627171107701,0.5716700604983739,384.2994910103934,173.80300898300973,122.90283639090401,1189.4356218610492,11399.481311389378,990.9432983398438,931.6303100585938,510.3576354980469,267.0863342285156,419.4175720214844
19,384.54212646484376,0.5675212468419756,306.95909881591797,197.01080109091367,120.76193062918527,1186.5183489118303,8439.903863366444,712.5330494471958,604.6100734165736,614.7737827845982,221.00782579694476,442.2834971836635
20,378.1250701904297,0.5666892886161804,312.1214819771903,215.25140458717942,115.34661538260323,1117.5894784109933,7704.04656791687,925.885498046875,965.15771484375,508.8905944824219,282.9894104003906,378.805908203125
