epoch,loss,aux_loss,colonization_loss,jump_loss,decline_loss,pde_loss,regular_loss,China_loss,India_loss,Philippines_loss,Portugal_loss,Sri Lanka_loss
1,2258.5396414620536,0.7439821515764509,2478.0259364536832,570.779567045324,224.5963352748326,4098.18995186942,6628.424154428335,4364.773202078683,2639.0276907784596,1636.262135532924,885.5957850864955,1767.039283970424
2,2038.3316999162946,0.7373784678322929,2213.83076171875,564.1039329977597,196.5922624860491,3857.343701171875,7048.232991536458,3966.864013671875,2208.435791015625,1825.0159912109375,748.7924194335938,1020.0908813476562
3,1821.1297999790736,0.7317318201065064,1966.2718226841519,385.73643747965497,175.40201764787946,3698.3936070033483,7661.508092244466,4021.9358380998883,2439.9753426688058,1491.8776820591518,691.0740609305245,1546.7954249790737
4,1656.9985822405133,0.7272135496139527,1764.0118927001954,389.1903638337788,163.44002511160716,3467.84921875,7677.152269635882,3428.4033203125,1721.62451171875,1678.9310302734375,577.362548828125,815.663330078125
5,1420.6884660993303,0.7235413381031581,1474.006614467076,416.7274261166652,154.9327917916434,3260.4413120814734,11084.805095672607,3510.18123953683,2298.655371965681,1346.787127685547,538.8238085065569,1411.201278250558
6,1295.4992431640626,0.7185437594141278,1308.1373421805245,403.5934435844421,153.46915413992747,3200.4719308035715,11389.51278921274,2891.458984375,1554.930908203125,1568.560791015625,466.6749572753906,700.2628173828125
7,1185.726642717634,0.7147807683263506,1150.8524605887276,412.371376408471,149.9880107334682,3237.921390206473,10173.62492605356,3027.2154593331475,2211.884468296596,1267.1371041434152,455.3219988141741,1323.4337921142578
8,1112.6644958496095,0.7091820359230041,1079.1768524169922,360.671684566297,152.11062731061662,3069.68017578125,11689.739124004658,2477.60009765625,1430.1591796875,1514.007568359375,421.024169921875,635.3408203125
9,1043.2496616908481,0.7052815829004561,972.2386064801898,343.2299463372481,154.44372384207588,2925.793697684152,11189.843383244106,2178.801028878348,2076.195517403739,1197.072726876395,421.3669841221401,1230.0058916364396
10,972.5596732003348,0.7011832782200405,884.3060734340123,325.2492514716254,153.7149422781808,2878.693132672991,11648.149911733773,1989.8880615234375,1381.994873046875,1467.7679443359375,424.2458801269531,599.4913330078125
11,926.7878452845982,0.6979405283927917,827.9626970563617,307.1619233524098,150.43634469168526,2975.5986886160713,11092.430654672477,1718.765846470424,1986.4586268833705,1150.1554103306362,426.4981685093471,1195.6179874965123
