epoch,loss,aux_loss,colonization_loss,jump_loss,decline_loss,pde_loss,regular_loss,China_loss,India_loss,Philippines_loss,Portugal_loss,Sri Lanka_loss
1,2234.383326939174,0.7316846370697021,2372.041831752232,574.2987754128196,207.8463169642857,4485.647739955357,8036.123110771179,4489.487751116071,2583.708299909319,1547.774276297433,925.894038609096,1625.0521388462612
2,1803.6408656529018,0.721013571534838,1860.1486899239676,611.7972030639648,166.66951206752233,4071.9097900390625,12200.635864257812,3461.068115234375,2453.555419921875,1604.9547119140625,575.9041748046875,841.493896484375
3,1445.6369288853236,0.7131836754935128,1435.1279292515346,487.0372174580892,158.1531507219587,3524.690101841518,14005.5,3450.360205078125,2359.4831460135324,1346.5013776506696,527.7815141950335,1334.07786996024
4,1274.9476684570313,0.7050413182803563,1266.713231549944,450.2625473022461,157.84102063860212,3268.4313546316966,13814.423990885416,2655.117919921875,1946.7935791015625,1507.1156005859375,409.1759948730469,675.417724609375
5,1119.2890197753907,0.6971796887261527,1054.17564566476,438.8846495946248,165.61981244768415,3124.3246337890623,15609.279331752232,2148.821702357701,2195.099760219029,1222.8176740373883,436.12306376865934,1225.3222821916852
6,1003.5798148018973,0.6896947026252747,924.5375418526786,543.0834922790527,171.4503853934152,2975.301970563616,18272.39871651786,2055.92578125,1574.9825439453125,1444.6365966796875,403.4587707519531,626.953369140625
7,937.6623282296317,0.6834942902837481,828.2384052821568,449.012208726671,174.03357849121093,2882.4764892578123,19060.063459123885,1597.590847342355,2007.1840358189174,1172.235505240304,428.3527574811663,1169.375180707659
8,803.5342982700893,0.6768266575677054,652.4522495814732,378.09903092817825,171.87119816371373,2870.4238525390624,17510.166065216064,1487.904052734375,1284.0411376953125,1419.2919921875,432.1446838378906,595.7171630859375
9,777.5845764160156,0.6704973408154079,623.4581930977957,450.6341737600473,172.1464590890067,2742.480629185268,17435.839752197266,1167.5283220563615,1759.5473711286272,1129.539896937779,418.7035001482282,1121.1258100237164
10,726.6566911969866,0.6641675318990435,566.9632505144392,419.3010791431774,170.61688624790736,2694.155130440848,16875.728286743164,1275.50244140625,1053.716796875,1368.601318359375,432.65521240234375,583.7744750976562
11,730.0184317452567,0.6592101556914193,577.8929473876954,368.579443359375,174.41830749511718,2611.7500767299107,15939.140130179268,1141.3744777134486,1344.8966251918248,1046.2328909737723,407.7068572998047,1077.6881247384208
