number,value,datetime_start,datetime_complete,duration,params_attention_heads,params_colonization_expert_weight,params_colonization_threshold,params_colonization_weight,params_coord_embed_base,params_decline_expert_weight,params_decline_threshold,params_decline_weight,params_dropout_rate,params_hidden_dim_1_base,params_hidden_dim_2_base,params_hidden_dim_3_base,params_jump_expert_weight,params_jump_threshold,params_jump_weight,params_learning_rate,params_pde_expert_weight,params_pde_weight,params_weight_decay,state
10,592.0126371273105,2025-04-12 20:25:01.126417,2025-04-12 22:16:07.150418,0 days 01:51:06.024001,7,0.5296480713060737,0.193965611891813,9.522656887511342,7,0.8124897805145396,37.65404112669709,8.212185656078328,0.4630659181130071,8,6,3,0.878204789548042,84.72528082300295,2.2703898624335253,0.0004993637883601218,0.7144299083451704,7.943328122319691,2.214396068504149e-07,COMPLETE
11,1585.805553600235,2025-04-12 20:25:01.139703,2025-04-12 22:19:58.910953,0 days 01:54:57.771250,2,0.7375386315314675,0.10232639337607534,2.9492362457018393,5,0.6971457481268195,64.3373971841306,5.2544260599215376,0.2753991977825756,22,16,8,0.6358350704309181,198.8740092569891,7.259174438107952,2.5508754249827804e-05,0.5855975253875391,1.1807419121509417,1.6486581733805815e-05,COMPLETE
12,476.69037086590083,2025-04-12 20:25:01.153441,2025-04-12 22:35:03.513897,0 days 02:10:02.360456,6,0.7375386315314675,0.09865901148564998,4.013156586009125,5,0.6971457481268195,66.27547611551614,5.083062055825858,0.2753991977825756,25,9,4,0.6175209522347848,109.2620316434298,7.259174438107952,0.0003429667321326434,0.5855975253875391,6.15961879886106,2.967773209962217e-07,COMPLETE
13,516.6689931942278,2025-04-12 20:25:01.166778,2025-04-12 22:44:33.351408,0 days 02:19:32.184630,7,0.7197213913395483,0.10148634053251862,3.957963373277293,5,0.6973234646653289,65.49390825002466,5.2544260599215376,0.28101828772896026,24,8,3,0.6123043816958816,106.9406365130335,7.274403085060849,0.0003928025332222,0.5972673213806948,6.638996847270607,2.4772555771555616e-07,COMPLETE
14,542.8998258849659,2025-04-12 20:25:01.179920,2025-04-12 22:55:48.852187,0 days 02:30:47.672267,6,0.6435973826214701,0.09552251906073074,4.013156586009125,7,0.779911231003659,49.55994645613383,6.769917156070596,0.36631594314751786,26,10,4,0.6123043816958816,51.976509869501044,7.342340404250017,0.0009886870381193046,0.6563058949120363,9.6912271054402,4.7257073745753864e-07,COMPLETE
15,952.4968077610004,2025-04-12 20:25:01.193576,2025-04-12 22:59:41.226438,0 days 02:34:40.032862,8,0.7769479467834559,0.13590388119697527,8.93053359792161,6,0.6595907080922859,74.25427747155432,4.082643943639809,0.23754701764520592,26,4,2,0.7278184113677527,128.9888083091715,4.959542840754541,4.038549892854383e-05,0.5394894580093814,6.097922950796916,1.0606791618730041e-05,COMPLETE
16,756.3740561932583,2025-04-12 20:25:01.207279,2025-04-12 23:03:33.414084,0 days 02:38:32.206805,2,0.6435973826214701,0.13209017466799233,1.8727190177345139,5,0.5271288452551053,52.35994052974628,4.082643943639809,0.36631594314751786,11,10,8,0.6831377837068595,128.9888083091715,6.0021804638487115,0.0002672093765641602,0.7742247504325699,2.0782176795602387,4.5594072390214954e-05,COMPLETE
17,429.116464999427,2025-04-12 20:25:01.220715,2025-04-12 23:21:10.980499,0 days 02:56:09.759784,6,0.7769479467834559,0.08136253205020105,8.05266659034115,2,0.85621601194762,74.25427747155432,6.769917156070596,0.23754701764520592,20,10,4,0.5681139558702257,185.56933062720324,8.28611953486444,0.00023689089570144521,0.5394894580093814,5.172326697890094,6.323728543271069e-07,COMPLETE
18,959.4350144822913,2025-04-12 20:25:01.234190,2025-04-12 23:25:02.757961,0 days 03:00:01.523771,6,0.8922566863986378,0.08211734024353566,8.05266659034115,2,0.85621601194762,74.79720483967803,9.197189852611936,0.2202259292197384,17,16,4,0.5681139558702257,199.53844357894187,8.428747610454728,4.665554536020021e-05,0.4179818655985018,5.172326697890094,6.323728543271069e-07,COMPLETE
19,613.2454347804345,2025-04-12 20:25:01.248205,2025-04-12 23:29:15.964143,0 days 03:04:14.715938,5,0.656981156841053,0.08211734024353566,8.05266659034115,2,0.7787113433222992,74.79720483967803,6.992970186456055,0.11549007998447319,17,11,5,0.7652366935026803,185.56933062720324,8.428747610454728,0.0002175389305005765,0.529750818372629,5.172326697890094,1.1797776225645341e-07,COMPLETE
20,718.2021172936257,2025-04-12 20:25:01.261771,2025-04-12 23:33:07.873117,0 days 03:08:06.611346,3,0.8046915683028197,0.16237921173134146,7.730352953321189,4,0.6435145190038787,94.52121607616272,6.992970186456055,0.329832058620782,18,11,7,0.5681139558702257,185.56933062720324,4.204821010014943,0.00020540573225365976,0.4179818655985018,2.4404846319239706,6.379953550240584e-06,COMPLETE
21,473.00281546558034,2025-04-12 20:25:01.275317,2025-04-12 23:50:40.442716,0 days 03:25:39.167399,6,0.7496334108689462,0.08177116152095935,4.893645791055788,2,0.8752635520425553,56.63488978961597,4.082643943639809,0.22067648570337164,27,9,4,0.5729870804597332,106.9406365130335,8.33666691358593,0.0007160466223042797,0.5499684937633444,7.209013810147226,7.206490510225727e-07,COMPLETE
22,499.46085132818246,2025-04-12 20:25:01.289222,2025-04-12 23:57:42.435229,0 days 03:32:41.146007,5,0.7832310409205215,0.08217763159014618,5.451798712798487,2,0.8867868027168015,55.00332018315382,1.6052198921794223,0.22067648570337164,28,8,5,0.5680056997187877,174.6705046372748,8.33666691358593,0.000816838850641708,0.5273145000499233,7.52701978117769,8.787440510411085e-07,COMPLETE
